fighter_url,first_name,last_name,nickname,stance,wins,losses,draws,slpm,sapm,td_avg,sub_avg,full_name,height_inches,reach_inches,weight_lbs,total_fights,win_pct,str_acc_career,str_def_career,td_acc_career,td_def_career,dob_parsed
http://www.ufcstats.com/fighter-details/8bdac25ce0bb874d,Ronda,Rousey,Rowdy,Orthodox,12,2,0,4.17,4.14,6.26,4.8,Ronda Rousey,67.0,66.0,135.0,14,0.8571428571428571,0.52,0.44,0.68,0.5,1987-02-01
http://www.ufcstats.com/fighter-details/cba3a2dfbc06ce79,Ray,Routh,,Orthodox,2,1,0,0.54,3.22,2.69,0.0,Ray Routh,68.0,,185.0,3,0.6666666666666666,0.21,0.28,0.33,,
http://www.ufcstats.com/fighter-details/9d7fbf438766791f,Roberta,Rovel,Crusher,,4,1,0,0.87,3.0,0.0,0.0,Roberta Rovel,68.0,,145.0,5,0.8,0.46,0.26,,1.0,
http://www.ufcstats.com/fighter-details/8e382b585a92affe,Phil,Rowe,The Fresh Prince,Orthodox,11,7,0,3.51,4.15,0.46,0.2,Phil Rowe,75.0,80.0,170.0,18,0.6111111111111112,0.49,0.5,0.36,0.53,1990-07-18
http://www.ufcstats.com/fighter-details/8ebc3a8da015d70c,Cam,Rowston,,Orthodox,14,3,0,4.26,2.62,0.5,0.5,Cam Rowston,75.0,78.0,185.0,17,0.8235294117647058,0.46,0.51,0.5,0.33,1995-01-19
http://www.ufcstats.com/fighter-details/712aa894b3a344df,Kain,Royer,,,2,2,0,0.0,1.63,0.0,4.1,Kain Royer,,,185.0,4,0.5,,0.14,,,
http://www.ufcstats.com/fighter-details/09f8c233de88998d,Brad,Royster,,,1,2,0,0.0,0.0,0.0,0.0,Brad Royster,,,135.0,3,0.3333333333333333,,,,,
http://www.ufcstats.com/fighter-details/6e15f63b6c2e2c15,Brandon,Royval,Raw Dawg,Southpaw,17,9,0,5.54,4.25,0.65,1.1,Brandon Royval,69.0,68.0,125.0,26,0.6538461538461539,0.41,0.43,0.75,0.45,1992-08-16
http://www.ufcstats.com/fighter-details/2cd428e9606856fd,Jairzinho,Rozenstruik,Bigi Boy,Orthodox,15,6,0,3.48,2.63,0.0,0.0,Jairzinho Rozenstruik,74.0,78.0,242.0,21,0.7142857142857143,0.48,0.52,,0.72,1988-03-17
http://www.ufcstats.com/fighter-details/140745cbbcb023ac,Mauricio,Rua,Shogun,Orthodox,27,14,1,3.57,2.79,2.01,0.7,Mauricio Rua,73.0,76.0,205.0,42,0.6428571428571429,0.5,0.54,0.48,0.49,1981-11-25
http://www.ufcstats.com/fighter-details/90e7447d8b7f3f35,Murilo,Rua,Ninja,Orthodox,20,13,1,2.48,1.85,1.97,1.2,Murilo Rua,71.0,,185.0,34,0.5882352941176471,0.45,0.53,0.45,0.37,1980-05-22
http://www.ufcstats.com/fighter-details/597db668b01c442c,Marco,Ruas,King of the Streets,Orthodox,9,4,2,0.0,0.0,0.0,0.0,Marco Ruas,73.0,,210.0,15,0.6,,,,,1961-01-23
http://www.ufcstats.com/fighter-details/94070f6544c4b2a5,Rodrigo,Ruas,,Orthodox,4,5,1,1.28,7.0,0.0,0.0,Rodrigo Ruas,70.0,,185.0,10,0.4,0.35,0.41,,,1977-10-06
